id,n
http://ACM_CSS_SKOS#10003553,2
http://ACM_CSS_SKOS#10003554,2
http://ACM_CSS_SKOS#10003555,2
http://ACM_CSS_SKOS#10003556,2
http://ACM_CSS_SKOS#10003557,2
http://ACM_CSS_SKOS#10003558,2
http://ACM_CSS_SKOS#10003561,2
http://ACM_CSS_SKOS#10003567,2
http://ACM_CSS_SKOS#10003574,2
http://ACM_CSS_SKOS#10003580,2
http://ACM_CSS_SKOS#10003588,2
http://ACM_CSS_SKOS#10003596,2
http://ACM_CSS_SKOS#10003599,2
http://ACM_CSS_SKOS#10003602,2
http://ACM_CSS_SKOS#10003611,2
http://ACM_CSS_SKOS#10003612,2
http://ACM_CSS_SKOS#10003613,2
http://ACM_CSS_SKOS#10003614,2
http://ACM_CSS_SKOS#10003616,2
http://ACM_CSS_SKOS#10003618,2
http://ACM_CSS_SKOS#10003619,2
http://ACM_CSS_SKOS#10003625,2
http://ACM_CSS_SKOS#10003633,2
http://ACM_CSS_SKOS#10003635,2
http://ACM_CSS_SKOS#10003636,2
http://ACM_CSS_SKOS#10003649,2
http://ACM_CSS_SKOS#10003662,2
http://ACM_CSS_SKOS#10003670,2
http://ACM_CSS_SKOS#10003671,2
http://ACM_CSS_SKOS#10003688,2
http://ACM_CSS_SKOS#10003700,2
http://ACM_CSS_SKOS#10003702,2
http://ACM_CSS_SKOS#10003703,2
http://ACM_CSS_SKOS#10003704,2
http://ACM_CSS_SKOS#10003707,2
http://ACM_CSS_SKOS#10003708,2
http://ACM_CSS_SKOS#10003713,2
http://ACM_CSS_SKOS#10003715,2
http://ACM_CSS_SKOS#10003716,2
http://ACM_CSS_SKOS#10003727,2
http://ACM_CSS_SKOS#10003732,2
http://ACM_CSS_SKOS#10003736,2
http://ACM_CSS_SKOS#10003738,2
http://ACM_CSS_SKOS#10003739,2
http://ACM_CSS_SKOS#10003740,2
http://ACM_CSS_SKOS#10003742,2
http://ACM_CSS_SKOS#10003746,2
http://ACM_CSS_SKOS#10003754,2
http://ACM_CSS_SKOS#10003757,2
http://ACM_CSS_SKOS#10003758,2
http://ACM_CSS_SKOS#10003759,2
http://ACM_CSS_SKOS#10003760,2
http://ACM_CSS_SKOS#10003761,2
http://ACM_CSS_SKOS#10003765,2
http://ACM_CSS_SKOS#10003767,2
http://ACM_CSS_SKOS#10003770,2
http://ACM_CSS_SKOS#10003771,2
http://ACM_CSS_SKOS#10003772,2
http://ACM_CSS_SKOS#10003773,2
http://ACM_CSS_SKOS#10003776,2
http://ACM_CSS_SKOS#10003778,2
http://ACM_CSS_SKOS#10003779,2
http://ACM_CSS_SKOS#10003780,2
http://ACM_CSS_SKOS#10003781,2
http://ACM_CSS_SKOS#10003782,2
http://ACM_CSS_SKOS#10003783,2
http://ACM_CSS_SKOS#10003784,2
http://ACM_CSS_SKOS#10003785,2
http://ACM_CSS_SKOS#10003786,2
http://ACM_CSS_SKOS#10003787,2
http://ACM_CSS_SKOS#10003788,2
http://ACM_CSS_SKOS#10003789,2
http://ACM_CSS_SKOS#10003792,2
http://ACM_CSS_SKOS#10003793,2
http://ACM_CSS_SKOS#10003794,2
http://ACM_CSS_SKOS#10003795,2
http://ACM_CSS_SKOS#10003796,2
http://ACM_CSS_SKOS#10003797,2
http://ACM_CSS_SKOS#10003798,2
http://ACM_CSS_SKOS#10003799,2
http://ACM_CSS_SKOS#10003800,2
http://ACM_CSS_SKOS#10003801,2
http://ACM_CSS_SKOS#10003806,2
http://ACM_CSS_SKOS#10010031,2
http://ACM_CSS_SKOS#10010047,2
http://ACM_CSS_SKOS#10010052,2
http://ACM_CSS_SKOS#10010055,2
http://ACM_CSS_SKOS#10010062,2
http://ACM_CSS_SKOS#10010063,2
http://ACM_CSS_SKOS#10010064,2
http://ACM_CSS_SKOS#10010065,2
http://ACM_CSS_SKOS#10010066,2
http://ACM_CSS_SKOS#10010067,2
http://ACM_CSS_SKOS#10010068,2
http://ACM_CSS_SKOS#10010069,2
http://ACM_CSS_SKOS#10010071,2
http://ACM_CSS_SKOS#10010087,2
http://ACM_CSS_SKOS#10010093,2
http://ACM_CSS_SKOS#10010095,2
http://ACM_CSS_SKOS#10010099,2
http://ACM_CSS_SKOS#10010111,2
http://ACM_CSS_SKOS#10010125,2
http://ACM_CSS_SKOS#10010131,2
http://ACM_CSS_SKOS#10010138,2
http://ACM_CSS_SKOS#10010149,2
http://ACM_CSS_SKOS#10010162,2
